pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-27T16:11:05,96906,96.906,0.688,,"96906,1897,1.529,0.688,-354344,NA"
2026-03-27T16:11:05,97026,97.026,0.68,,"97026,1896,1.529,0.680,-354400,NA"
2026-03-27T16:11:05,97126,97.126,0.677,,"97126,1896,1.529,0.677,-354427,NA"
2026-03-27T16:11:05,97246,97.246,0.675,,"97246,1896,1.528,0.675,-354458,NA"
2026-03-27T16:11:05,97386,97.386,0.675,,"97386,1896,1.528,0.675,-354449,NA"
2026-03-27T16:11:05,97486,97.486,0.676,,"97486,1896,1.529,0.676,-354483,NA"
2026-03-27T16:11:05,97586,97.586,0.675,,"97586,1896,1.528,0.675,-354531,NA"
2026-03-27T16:11:06,97686,97.686,0.677,,"97686,1896,1.529,0.677,-354567,NA"
2026-03-27T16:11:06,97806,97.806,0.678,,"97806,1896,1.529,0.678,-354505,NA"
2026-03-27T16:11:06,97946,97.946,0.681,,"97946,1896,1.529,0.681,-354517,NA"
2026-03-27T16:11:06,98046,98.046,0.684,,"98046,1897,1.529,0.684,-354592,NA"
2026-03-27T16:11:06,98146,98.146,0.685,,"98146,1897,1.529,0.685,-354551,NA"
2026-03-27T16:11:06,98246,98.246,0.684,,"98246,1897,1.529,0.684,-354497,NA"
2026-03-27T16:11:06,98366,98.366,0.677,,"98366,1896,1.529,0.677,-354539,NA"
2026-03-27T16:11:06,98506,98.506,0.678,,"98506,1896,1.529,0.678,-354572,NA"
2026-03-27T16:11:06,98606,98.606,0.679,,"98606,1896,1.529,0.679,-354569,NA"
2026-03-27T16:11:07,98706,98.706,0.683,,"98706,1897,1.529,0.683,-354541,NA"
2026-03-27T16:11:07,98806,98.806,0.684,,"98806,1897,1.529,0.684,-354513,NA"
2026-03-27T16:11:07,98946,98.946,0.683,,"98946,1897,1.529,0.683,-354501,NA"
2026-03-27T16:11:07,99066,99.066,0.683,,"99066,1897,1.529,0.683,-354502,NA"
2026-03-27T16:11:07,99166,99.166,0.686,,"99166,1897,1.529,0.686,-354491,NA"
2026-03-27T16:11:07,99286,99.286,0.686,,"99286,1897,1.529,0.686,-354463,NA"
2026-03-27T16:11:07,99426,99.426,0.683,,"99426,1897,1.529,0.683,-354448,NA"
2026-03-27T16:11:07,99526,99.526,0.682,,"99526,1897,1.529,0.682,-354471,NA"
2026-03-27T16:11:08,99626,99.626,0.682,,"99626,1897,1.529,0.682,-354424,NA"
2026-03-27T16:11:08,99726,99.726,0.685,,"99726,1897,1.529,0.685,-354372,NA"
2026-03-27T16:11:08,99846,99.846,0.684,,"99846,1897,1.529,0.684,-354357,NA"
2026-03-27T16:11:08,99986,99.986,0.687,,"99986,1897,1.529,0.687,-354384,NA"
2026-03-27T16:11:08,100086,100.086,0.689,,"100086,1897,1.529,0.689,-354279,NA"
2026-03-27T16:11:08,100186,100.186,0.687,,"100186,1897,1.529,0.687,-354208,NA"
2026-03-27T16:11:08,100286,100.286,0.684,,"100286,1897,1.529,0.684,-354186,NA"
2026-03-27T16:11:08,100406,100.406,0.685,,"100406,1897,1.529,0.685,-354254,NA"
2026-03-27T16:11:08,100546,100.546,0.684,,"100546,1897,1.529,0.684,-354377,NA"
2026-03-27T16:11:09,100646,100.646,0.681,,"100646,1896,1.529,0.681,-354305,NA"
2026-03-27T16:11:09,100766,100.766,0.683,,"100766,1897,1.529,0.683,-354323,NA"
2026-03-27T16:11:09,100906,100.906,0.679,,"100906,1896,1.529,0.679,-354425,NA"
2026-03-27T16:11:09,101006,101.006,0.676,,"101006,1896,1.529,0.676,-354383,NA"
2026-03-27T16:11:09,101106,101.106,0.675,,"101106,1896,1.528,0.675,-354298,NA"
2026-03-27T16:11:09,101206,101.206,0.671,,"101206,1896,1.528,0.671,-354334,NA"
2026-03-27T16:11:09,101326,101.326,0.67,,"101326,1896,1.528,0.670,-354409,NA"
2026-03-27T16:11:11,102767,102.767,0.669,,"102767,1896,1.528,0.669,0,NA"
2026-03-27T16:11:11,102886,102.886,0.672,,"102886,1896,1.528,0.672,-354400,NA"
2026-03-27T16:11:11,103026,103.026,0.674,,"103026,1896,1.528,0.674,-354420,NA"
2026-03-27T16:11:11,103146,103.146,0.672,,"103146,1896,1.528,0.672,-354505,NA"
2026-03-27T16:11:11,103246,103.246,0.671,,"103246,1896,1.528,0.671,-354560,NA"
2026-03-27T16:11:11,103366,103.366,0.672,,"103366,1896,1.528,0.672,-354544,NA"
2026-03-27T16:11:11,103506,103.506,0.674,,"103506,1896,1.528,0.674,-354515,NA"
2026-03-27T16:11:11,103606,103.606,0.673,,"103606,1896,1.528,0.673,-354545,NA"
2026-03-27T16:11:12,103706,103.706,0.674,,"103706,1896,1.528,0.674,-354522,NA"
2026-03-27T16:11:12,103806,103.806,0.67,,"103806,1896,1.528,0.670,-354452,NA"
2026-03-27T16:11:12,103926,103.926,0.67,,"103926,1896,1.528,0.670,-354495,NA"
2026-03-27T16:11:12,104066,104.066,0.669,,"104066,1896,1.528,0.669,-354535,NA"
2026-03-27T16:11:12,104166,104.166,0.667,,"104166,1896,1.528,0.667,-354463,NA"
2026-03-27T16:11:12,104266,104.266,0.669,,"104266,1896,1.528,0.669,-354455,NA"
2026-03-27T16:11:12,104366,104.366,0.671,,"104366,1896,1.528,0.671,-354472,NA"
2026-03-27T16:11:12,104486,104.486,0.672,,"104486,1896,1.528,0.672,-354467,NA"
2026-03-27T16:11:13,104626,104.626,0.671,,"104626,1896,1.528,0.671,-354497,NA"
2026-03-27T16:11:13,104726,104.726,0.67,,"104726,1896,1.528,0.670,-354551,NA"
2026-03-27T16:11:13,104846,104.846,0.673,,"104846,1896,1.528,0.673,-354507,NA"
2026-03-27T16:11:13,104986,104.986,0.673,,"104986,1896,1.528,0.673,-354460,NA"
2026-03-27T16:11:13,105086,105.086,0.674,,"105086,1896,1.528,0.674,-354442,NA"
2026-03-27T16:11:13,105186,105.186,0.671,,"105186,1896,1.528,0.671,-354422,NA"
2026-03-27T16:11:13,105286,105.286,0.67,,"105286,1896,1.528,0.670,-354477,NA"
2026-03-27T16:11:13,105406,105.406,0.672,,"105406,1896,1.528,0.672,-354490,NA"
2026-03-27T16:11:13,105546,105.546,0.678,,"105546,1896,1.529,0.678,-354606,NA"
2026-03-27T16:11:14,105646,105.646,0.682,,"105646,1897,1.529,0.682,-354551,NA"
