pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-27T14:26:40,68486,68.486,0.688,,"68486,1901,1.532,0.688,-358142,NA"
2026-03-27T14:26:40,68586,68.586,0.684,,"68586,1901,1.532,0.684,-358158,NA"
2026-03-27T14:26:41,68686,68.686,0.681,,"68686,1901,1.532,0.681,-358054,NA"
2026-03-27T14:26:41,68786,68.786,0.68,,"68786,1901,1.532,0.680,-357948,NA"
2026-03-27T14:26:41,68906,68.906,0.678,,"68906,1900,1.532,0.678,-357773,NA"
2026-03-27T14:26:41,69046,69.046,0.678,,"69046,1900,1.532,0.678,-357680,NA"
2026-03-27T14:26:41,69146,69.146,0.678,,"69146,1900,1.532,0.678,-357795,NA"
2026-03-27T14:26:41,69266,69.266,0.676,,"69266,1900,1.532,0.676,-357897,NA"
2026-03-27T14:26:41,69406,69.406,0.676,,"69406,1900,1.532,0.676,-358058,NA"
2026-03-27T14:26:41,69506,69.506,0.675,,"69506,1900,1.532,0.675,-358032,NA"
2026-03-27T14:26:42,69606,69.606,0.673,,"69606,1900,1.532,0.673,-357975,NA"
2026-03-27T14:26:42,69706,69.706,0.673,,"69706,1900,1.532,0.673,-358105,NA"
2026-03-27T14:26:42,69826,69.826,0.674,,"69826,1900,1.532,0.674,-358072,NA"
2026-03-27T14:26:42,69966,69.966,0.675,,"69966,1900,1.532,0.675,-358081,NA"
2026-03-27T14:26:42,70066,70.066,0.678,,"70066,1900,1.532,0.678,-358126,NA"
2026-03-27T14:26:42,70166,70.166,0.678,,"70166,1900,1.532,0.678,-358071,NA"
2026-03-27T14:26:42,70266,70.266,0.676,,"70266,1900,1.532,0.676,-357925,NA"
2026-03-27T14:26:42,70386,70.386,0.676,,"70386,1900,1.532,0.676,-357899,NA"
2026-03-27T14:26:42,70526,70.526,0.677,,"70526,1900,1.532,0.677,-357825,NA"
2026-03-27T14:26:43,70626,70.626,0.677,,"70626,1900,1.532,0.677,-357754,NA"
2026-03-27T14:26:43,70726,70.726,0.675,,"70726,1900,1.532,0.675,-357691,NA"
2026-03-27T14:26:43,70826,70.826,0.676,,"70826,1900,1.532,0.676,-357689,NA"
2026-03-27T14:26:43,70966,70.966,0.677,,"70966,1900,1.532,0.677,-357546,NA"
2026-03-27T14:26:43,71086,71.086,0.677,,"71086,1900,1.532,0.677,-357647,NA"
2026-03-27T14:26:43,71186,71.186,0.677,,"71186,1900,1.532,0.677,-357727,NA"
2026-03-27T14:26:43,71306,71.306,0.677,,"71306,1900,1.532,0.677,-357778,NA"
2026-03-27T14:26:43,71446,71.446,0.676,,"71446,1900,1.532,0.676,-357688,NA"
2026-03-27T14:26:44,71546,71.546,0.675,,"71546,1900,1.532,0.675,-357665,NA"
2026-03-27T14:26:44,71646,71.646,0.675,,"71646,1900,1.532,0.675,-357585,NA"
2026-03-27T14:26:44,71746,71.746,0.674,,"71746,1900,1.532,0.674,-357414,NA"
2026-03-27T14:26:44,71866,71.866,0.675,,"71866,1900,1.532,0.675,-357450,NA"
2026-03-27T14:26:44,72006,72.006,0.676,,"72006,1900,1.532,0.676,-357591,NA"
2026-03-27T14:26:44,72106,72.106,0.675,,"72106,1900,1.532,0.675,-357587,NA"
2026-03-27T14:26:44,72206,72.206,0.673,,"72206,1900,1.532,0.673,-357596,NA"
2026-03-27T14:26:44,72306,72.306,0.675,,"72306,1900,1.532,0.675,-357688,NA"
2026-03-27T14:26:44,72426,72.426,0.675,,"72426,1900,1.532,0.675,-357776,NA"
2026-03-27T14:26:44,72566,72.566,0.678,,"72566,1901,1.532,0.678,-357789,NA"
2026-03-27T14:26:45,72666,72.666,0.678,,"72666,1901,1.532,0.678,-358119,NA"
2026-03-27T14:26:45,72786,72.786,0.676,,"72786,1900,1.532,0.676,-358288,NA"
2026-03-27T14:26:45,72926,72.926,0.675,,"72926,1900,1.532,0.675,-358017,NA"
2026-03-27T14:26:45,73026,73.026,0.668,,"73026,1900,1.532,0.668,-357780,NA"
2026-03-27T14:26:45,73126,73.126,0.666,,"73126,1900,1.531,0.666,-357581,NA"
2026-03-27T14:26:45,73226,73.226,0.664,,"73226,1900,1.531,0.664,-357452,NA"
2026-03-27T14:26:45,73346,73.346,0.664,,"73346,1900,1.531,0.664,-357347,NA"
2026-03-27T14:26:45,73486,73.486,0.668,,"73486,1900,1.532,0.668,-357554,NA"
2026-03-27T14:26:46,73586,73.586,0.669,,"73586,1900,1.532,0.669,-357522,NA"
2026-03-27T14:26:46,73686,73.686,0.669,,"73686,1900,1.532,0.669,-357715,NA"
2026-03-27T14:26:46,73786,73.786,0.671,,"73786,1900,1.532,0.671,-357925,NA"
2026-03-27T14:26:46,73906,73.906,0.673,,"73906,1900,1.532,0.673,-357992,NA"
2026-03-27T14:26:46,74046,74.046,0.672,,"74046,1900,1.532,0.672,-358305,NA"
2026-03-27T14:26:46,74146,74.146,0.674,,"74146,1900,1.532,0.674,-358250,NA"
2026-03-27T14:26:46,74246,74.246,0.675,,"74246,1900,1.532,0.675,-358171,NA"
2026-03-27T14:26:46,74346,74.346,0.675,,"74346,1900,1.532,0.675,-358219,NA"
2026-03-27T14:26:46,74466,74.466,0.674,,"74466,1900,1.532,0.674,-358150,NA"
2026-03-27T14:26:47,74606,74.606,0.673,,"74606,1900,1.532,0.673,-357903,NA"
2026-03-27T14:26:47,74706,74.706,0.669,,"74706,1900,1.532,0.669,-357670,NA"
2026-03-27T14:26:47,74826,74.826,0.668,,"74826,1900,1.532,0.668,-357507,NA"
2026-03-27T14:26:47,74966,74.966,0.671,,"74966,1900,1.532,0.671,-357622,NA"
2026-03-27T14:26:47,75066,75.066,0.671,,"75066,1900,1.532,0.671,-357721,NA"
2026-03-27T14:26:47,75166,75.166,0.67,,"75166,1900,1.532,0.670,-357684,NA"
2026-03-27T14:26:47,75266,75.266,0.67,,"75266,1900,1.532,0.670,-357673,NA"
2026-03-27T14:26:47,75386,75.386,0.667,,"75386,1900,1.532,0.667,-357624,NA"
2026-03-27T14:26:47,75526,75.526,0.664,,"75526,1900,1.531,0.664,-357559,NA"
2026-03-27T14:26:48,75626,75.626,0.666,,"75626,1900,1.531,0.666,-357596,NA"
2026-03-27T14:26:48,75726,75.726,0.669,,"75726,1900,1.532,0.669,-357640,NA"
2026-03-27T14:26:48,75826,75.826,0.669,,"75826,1900,1.532,0.669,-357650,NA"
2026-03-27T14:26:48,75946,75.946,0.666,,"75946,1900,1.531,0.666,-357599,NA"
2026-03-27T14:26:48,76086,76.086,0.668,,"76086,1900,1.532,0.668,-357949,NA"
2026-03-27T14:26:48,76186,76.186,0.67,,"76186,1900,1.532,0.670,-357996,NA"
2026-03-27T14:26:48,76286,76.286,0.672,,"76286,1900,1.532,0.672,-358051,NA"
2026-03-27T14:26:48,76386,76.386,0.67,,"76386,1900,1.532,0.670,-358067,NA"
2026-03-27T14:26:48,76526,76.526,0.668,,"76526,1900,1.532,0.668,-358035,NA"
2026-03-27T14:26:49,76646,76.646,0.667,,"76646,1900,1.532,0.667,-358041,NA"
2026-03-27T14:26:49,76746,76.746,0.668,,"76746,1900,1.532,0.668,-357876,NA"
2026-03-27T14:26:49,76866,76.866,0.669,,"76866,1900,1.532,0.669,-357808,NA"
2026-03-27T14:26:49,77006,77.006,0.668,,"77006,1900,1.532,0.668,-357617,NA"
2026-03-27T14:26:49,77106,77.106,0.666,,"77106,1900,1.531,0.666,-357637,NA"
2026-03-27T14:26:49,77206,77.206,0.666,,"77206,1900,1.531,0.666,-357583,NA"
2026-03-27T14:26:49,77306,77.306,0.668,,"77306,1900,1.532,0.668,-357709,NA"
2026-03-27T14:26:49,77426,77.426,0.67,,"77426,1900,1.532,0.670,-357851,NA"
2026-03-27T14:26:50,77566,77.566,0.672,,"77566,1900,1.532,0.672,-357855,NA"
2026-03-27T14:26:50,77666,77.666,0.672,,"77666,1900,1.532,0.672,-357898,NA"
2026-03-27T14:26:50,77766,77.766,0.669,,"77766,1900,1.532,0.669,-357880,NA"
2026-03-27T14:26:50,77866,77.866,0.67,,"77866,1900,1.532,0.670,-357801,NA"
2026-03-27T14:26:50,77986,77.986,0.672,,"77986,1900,1.532,0.672,-357726,NA"
2026-03-27T14:26:50,78126,78.126,0.674,,"78126,1900,1.532,0.674,-357720,NA"
