pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-23T21:10:21,40915,40.915,0.013,,"40915,1861,1.500,0.013,-351425,NA"
2026-03-23T21:10:23,42471,42.471,-0.051,,"42471,1858,1.498,-0.051,-351397,NA"
2026-03-23T21:10:24,44007,44.007,-0.11,,"44007,1855,1.495,-0.110,-351418,NA"
2026-03-23T21:10:26,45573,45.573,-0.166,,"45573,1852,1.493,-0.166,-351317,NA"
2026-03-23T21:10:27,47105,47.105,-0.212,,"47105,1850,1.491,-0.212,-351376,NA"
2026-03-23T21:10:29,48680,48.68,-0.254,,"48680,1848,1.490,-0.254,-351390,NA"
2026-03-23T21:10:30,50236,50.236,-0.287,,"50236,1846,1.488,-0.287,-351383,NA"
2026-03-23T21:10:32,51856,51.856,-0.317,,"51856,1845,1.487,-0.317,-351352,NA"
2026-03-23T21:10:34,53549,53.549,-0.346,,"53549,1843,1.486,-0.346,-351440,NA"
2026-03-23T21:10:35,55033,55.033,-0.364,,"55033,1843,1.485,-0.364,-351437,NA"
2026-03-23T21:10:37,56584,56.584,-0.38,,"56584,1842,1.485,-0.380,-351408,NA"
2026-03-23T21:10:38,58210,58.21,-0.395,,"58210,1841,1.484,-0.395,-351383,NA"
2026-03-23T21:10:40,59909,59.909,-0.416,,"59909,1840,1.483,-0.416,-351351,NA"
2026-03-23T21:10:42,61561,61.561,-0.429,,"61561,1839,1.483,-0.429,-351376,NA"
2026-03-23T21:10:43,63326,63.326,-0.437,,"63326,1839,1.482,-0.437,-351350,NA"
2026-03-23T21:10:45,64818,64.818,-0.448,,"64818,1838,1.482,-0.448,-351318,NA"
2026-03-23T21:10:47,66419,66.419,-0.456,,"66419,1838,1.482,-0.456,-351402,NA"
2026-03-23T21:10:48,68076,68.076,-0.463,,"68076,1838,1.481,-0.463,-351342,NA"
2026-03-23T21:10:50,69528,69.528,-0.467,,"69528,1837,1.481,-0.467,-351406,NA"
2026-03-23T21:10:51,71272,71.272,-0.473,,"71272,1837,1.481,-0.473,-351402,NA"
2026-03-23T21:10:53,72883,72.883,-0.477,,"72883,1837,1.481,-0.477,-351365,NA"
2026-03-23T21:10:55,74384,74.384,-0.48,,"74384,1837,1.481,-0.480,-351421,NA"
2026-03-23T21:10:56,76065,76.065,-0.484,,"76065,1837,1.480,-0.484,-351379,NA"
2026-03-23T21:10:58,77659,77.659,-0.49,,"77659,1836,1.480,-0.490,-351401,NA"
2026-03-23T21:10:59,79222,79.222,-0.494,,"79222,1836,1.480,-0.494,-351360,NA"
2026-03-23T21:11:01,80831,80.831,-0.493,,"80831,1836,1.480,-0.493,-351397,NA"
2026-03-23T21:11:03,82449,82.449,-0.497,,"82449,1836,1.480,-0.497,-351333,NA"
2026-03-23T21:11:04,84082,84.082,-0.5,,"84082,1836,1.480,-0.500,-351366,NA"
2026-03-23T21:11:06,85855,85.855,-0.502,,"85855,1836,1.480,-0.502,-351313,NA"
2026-03-23T21:11:08,87463,87.463,-0.503,,"87463,1836,1.480,-0.503,-351367,NA"
